Consejo Departamental;Ano;AGRICOLA;AGRO NOMICA;CIVIL;ECONOMICA;ELECTRICA;ELEC TRONICA;FORESTAL;GEOLOGICA;INDUSTRIAL Y DE SISTEMAS;INDUSTRIAS ALIMENTARIAS;MECANICA;MECANICA ELECTRICA;META LURGICA;MINAS;PESQUERIA;PETROLERA Y     PETRO QUIMICA;QUIMICA;SANITARIA Y AMBIENTAL;ZOOTECNIA
PIURA;2007;80;1037;732;2;28;29;1;29;1008;21;65;216;2;196;259;97;182;9;164
PUNO;2007;196;785;750;521;45;49;4;63;275;12;11;158;41;136;22;1;112;0;32
S.M. MOYOBAMBA;2007;21;117;94;1;;2;14;2;20;21;3;12;0;1;6;0;4;55;18
S.M. TARAPOTO;2007;22;313;329;2;11;6;30;1;107;12;11;7;0;0;4;0;16;13;55
TACNA;2007;36;265;349;33;24;55;2;42;233;64;44;39;84;111;107;0;59;1;23
TUMBES;2007;23;259;103;0;3;4;1;2;42;1;1;10;0;6;92;2;12;1;9
UCAYALI;2007;8;209;171;4;24;7;131;2;46;8;9;21;2;0;5;5;31;5;33
AMAZONAS;2008;2;1;3;0;0;0;0;0;8;0;0;2;0;0;0;0;0;0;4
ANCASH CHIMBOTE;2008;10;0;81;0;2;2;0;0;61;2;1;19;1;2;6;0;3;0;2
ANCASH HUARAZ;2008;39;17;56;0;1;0;1;1;20;1;1;0;0;9;0;0;0;16;0
APURIMAC;2008;22;0;1;0;2;0;0;1;12;0;0;2;0;1;0;0;2;0;2
AREQUIPA;2008;56;1;145;0;15;39;1;23;129;21;47;43;55;26;9;0;47;0;2
AYACUCHO;2008;38;3;57;0;1;0;0;0;7;5;0;0;0;22;0;0;7;0;0
CAJAMARCA;2008;24;0;70;0;0;1;7;1;25;1;2;3;1;5;0;0;0;5;9
CALLAO;2008;5;1;10;1;14;21;5;9;25;4;12;10;0;0;6;0;13;13;1
CUSCO;2008;53;1;90;2;29;5;0;24;58;0;18;2;6;10;1;0;18;0;37
HUANCAVELICA;2008;5;0;3;0;2;11;0;0;2;0;1;0;0;8;1;0;1;2;29
HUANUCO;2008;51;0;38;0;1;0;1;0;28;2;0;0;0;0;0;0;0;0;3
HUANUCO TINGO MARIA;2008;18;0;0;0;1;0;17;0;2;6;0;0;0;0;0;0;0;0;25
ICA;2008;27;0;60;0;0;2;0;0;4;0;0;44;1;6;1;0;18;1;0
JUNIN;2008;47;5;57;0;48;2;41;0;68;21;29;4;18;54;0;0;22;0;47
LA LIBERTAD;2008;22;27;143;1;4;47;1;0;115;10;28;4;21;12;2;0;57;1;2
LAMBAYEQUE;2008;38;45;77;0;0;5;9;0;69;6;0;88;0;0;1;0;26;0;18
LIMA;2008;60;79;442;27;119;146;30;88;436;34;129;91;33;139;32;24;116;162;33
LORETO;2008;20;0;22;0;0;2;18;0;7;2;1;2;0;0;3;0;20;0;2
MADRE DE DIOS;2008;2;0;2;0;0;0;7;1;6;0;0;0;0;0;1;0;1;0;1
MOQUEGUA;2008;13;1;29;3;0;3;0;5;17;1;14;4;6;6;10;0;2;0;0
PASCO;2008;6;0;0;0;2;0;1;9;7;0;0;0;10;16;0;0;0;2;21
PIURA;2008;33;2;90;0;0;1;0;5;92;0;0;20;0;31;11;16;17;0;8
PUNO;2008;50;25;85;40;2;13;0;13;63;0;0;55;4;23;0;0;12;1;1
S.M. MOYOBAMBA;2008;2;0;10;0;0;0;0;0;2;1;0;0;0;0;0;0;2;8;3
S.M. TARAPOTO;2008;24;0;24;0;0;0;7;0;26;0;0;3;0;0;0;0;0;3;2
TACNA;2008;19;2;78;11;0;6;0;5;39;6;20;1;5;20;13;0;2;0;0
TUMBES;2008;16;0;3;0;0;0;3;0;2;1;0;1;0;1;10;0;1;0;1
UCAYALI;2008;25;1;2;0;1;0;10;0;3;0;0;1;0;0;0;0;0;0;3
AMAZONAS;2009;22;82;86;1;6;1;12;4;42;6;4;15;0;1;11;1;5;6;39
ANCASH CHIMBOTE;2009;20;138;606;2;30;22;2;6;377;17;51;121;15;8;102;0;98;5;10
ANCASH HUARAZ;2009;249;250;511;3;10;4;10;12;81;67;9;8;8;82;13;0;17;115;24
APURIMAC;2009;26;255;144;6;37;4;6;13;86;18;6;16;2;22;3;1;26;0;36
AREQUIPA;2009;59;1,026;1,409;23;128;315;4;722;1,051;190;244;416;462;157;114;0;809;6;85
AYACUCHO;2009;25;656;577;0;19;3;7;5;38;59;2;17;1;209;3;0;172;0;13
CAJAMARCA;2009;128;661;1,212;1;6;11;78;19;146;24;6;28;9;29;2;0;22;23;166
CALLAO;2009;17;47;212;6;125;82;12;67;151;20;75;46;6;10;91;3;71;76;6
