Consejo Departamental;Ano;AGRICOLA;AGRO NOMICA;CIVIL;ECONOMICA;ELECTRICA;ELEC TRONICA;FORESTAL;GEOLOGICA;INDUSTRIAL Y DE SISTEMAS;INDUSTRIAS ALIMENTARIAS;MECANICA;MECANICA ELECTRICA;META LURGICA;MINAS;PESQUERIA;PETROLERA Y     PETRO QUIMICA;QUIMICA;SANITARIA Y AMBIENTAL;ZOOTECNIA
UCAYALI;2023;710;17;616;11;38;13;507;4;298;141;17;31;2;0;11;8;45;296;48
AMAZONAS;2024;280;19;491;14;5;9;72;8;154;387;14;31;1;0;11;2;14;247;136
ANCASH CHIMBOTE;2024;251;27;3267;10;29;53;5;6;2166;564;152;662;31;32;128;2;120;75;12
ANCASH HUARAZ;2024;730;487;2044;11;12;11;17;18;692;165;8;29;17;514;15;1;30;595;39
APURIMAC;2024;685;81;1106;24;55;9;14;30;547;644;12;21;9;333;6;1;33;457;49
AREQUIPA;2024;1744;89;4890;335;510;1040;6;1563;4963;868;1306;1065;1832;1986;286;7;2183;1204;76
AYACUCHO;2024;1603;510;1968;36;21;21;8;9;368;519;9;24;3;523;8;1;366;228;25
CAJAMARCA;2024;1191;22;3888;51;11;31;365;471;1857;314;120;203;34;989;2;0;40;892;308
CALLAO;2024;137;100;1054;65;313;371;38;101;1331;175;212;183;45;60;212;12;232;363;48
CUSCO;2024;2251;65;5609;48;1029;208;29;745;1946;279;391;62;307;566;10;16;664;549;914
HUANCAVELICA;2024;312;12;900;6;18;106;16;5;133;81;12;10;16;169;10;1;234;171;351
HUANUCO;2024;922;17;1867;3;24;10;15;22;858;301;15;15;17;52;13;1;7;397;45
HUANUCO TINGO MARIA;2024;598;2;99;2;4;4;423;2;125;241;1;5;1;2;2;0;13;409;334
ICA;2024;1818;9;2672;11;15;214;2;9;874;210;27;1527;238;347;313;5;1424;459;17
JUNIN;2024;1542;78;4084;14;1678;164;967;46;2000;725;1039;95;882;2100;15;3;1141;1074;811
LA LIBERTAD;2024;1438;513;7771;120;70;807;47;43;7458;931;1325;697;1295;988;39;5;2224;1007;245
LAMBAYEQUE;2024;2016;1816;5899;265;26;434;190;12;3626;626;110;2712;9;165;23;9;877;498;616
LIMA;2024;6023;3266;29844;1850;4289;7093;899;2698;25558;2984;5123;6475;1791;4131;2494;938;7101;7896;1259
LORETO;2024;879;6;759;6;23;15;906;3;486;333;20;42;1;2;19;1;571;463;64
MADRE DE DIOS;2024;90;5;260;3;11;8;344;7;90;84;3;13;11;11;9;1;19;17;13
MOQUEGUA;2024;311;49;1036;453;29;72;2;40;477;128;189;352;104;220;106;1;84;369;5
PASCO;2024;344;3;429;3;12;5;7;207;217;27;34;12;331;638;0;0;30;513;370
PIURA;2024;1922;344;4455;51;34;465;17;446;4517;567;88;942;17;937;830;674;559;371;299
PUNO;2024;1335;1111;4253;1913;67;443;8;455;1251;596;15;1231;303;813;43;0;483;853;17
S.M. MOYOBAMBA;2024;162;18;539;9;6;7;111;4;196;67;6;29;2;4;9;1;19;731;54
S.M. TARAPOTO;2024;945;26;1974;13;19;23;96;0;593;384;37;98;3;2;8;0;29;665;150
TACNA;2024;711;41;2246;713;34;188;3;111;775;357;250;77;281;391;259;0;141;213;20
TUMBES;2024;635;98;340;4;1;8;235;1;180;88;3;17;0;11;396;4;18;8;11
UCAYALI;2024;741;17;683;11;37;15;524;4;331;166;18;30;2;0;11;9;46;334;49
